Station,Year,Month,Day,Max Temp (C),Quality
9037,1966,8,4,16.1,Y
9037,1966,8,5,17.2,Y
9037,1966,8,6,17.2,Y
9037,1966,8,7,19.4,Y
9037,1966,8,8,15.8,Y
9037,1966,8,9,13.6,Y
9037,1966,8,10,17.3,Y
9037,1966,8,11,18.3,Y
9037,1966,8,12,21.4,Y
9037,1966,8,13,22.2,Y
9037,1966,8,14,22.3,Y
9037,1966,8,15,23.4,Y
9037,1966,8,16,17.8,Y
9037,1966,8,17,13.2,Y
9037,1966,8,18,20,Y
9037,1966,8,19,20.1,Y
9037,1966,8,20,18.2,Y
9037,1966,8,21,20.6,Y
9037,1966,8,22,24.8,Y
9037,1966,8,23,18.9,Y
9037,1966,8,24,17.9,Y
9037,1966,8,25,17.9,Y
9037,1966,8,26,16.9,Y
9037,1966,8,27,15.1,Y
9037,1966,8,28,16.2,Y
9037,1966,8,29,17,Y
9037,1966,8,30,17.8,Y
9037,1966,8,31,16.6,Y
9037,1966,9,1,17.2,Y
9037,1966,9,2,21.1,Y
9037,1966,9,3,20.6,Y
9037,1966,9,4,16.7,Y
9037,1966,9,5,18.2,Y
9037,1966,9,6,18.4,Y
9037,1966,9,7,18.9,Y
9037,1966,9,8,19.7,Y
9037,1966,9,9,19.9,Y
9037,1966,9,10,20.1,Y
9037,1966,9,11,17.6,Y
9037,1966,9,12,18.4,Y
9037,1966,9,13,16.6,Y
9037,1966,9,14,15.8,Y
9037,1966,9,15,17.7,Y
9037,1966,9,16,21.4,Y
9037,1966,9,17,18.3,Y
9037,1966,9,18,21.2,Y
9037,1966,9,19,14.3,Y
9037,1966,9,20,14.9,Y
9037,1966,9,21,18.3,Y
9037,1966,9,22,18.8,Y
9037,1966,9,23,24.4,Y
9037,1966,9,24,21.9,Y
9037,1966,9,25,18.9,Y
9037,1966,9,26,18.9,Y
9037,1966,9,27,17.9,Y
9037,1966,9,28,19.3,Y
9037,1966,9,29,20.1,Y
9037,1966,9,30,21.9,Y
9037,1966,10,1,22.2,Y
9037,1966,10,2,22.7,Y
9037,1966,10,3,23.3,Y
9037,1966,10,4,24.9,Y
9037,1966,10,5,28.3,Y
9037,1966,10,6,29.4,Y
9037,1966,10,7,29.2,Y
9037,1966,10,8,23.1,Y
9037,1966,10,9,17.5,Y
9037,1966,10,10,19.2,Y
9037,1966,10,11,29.4,Y
9037,1966,10,12,22.3,Y
9037,1966,10,13,20,Y
9037,1966,10,14,17.9,Y
9037,1966,10,15,19.1,Y
9037,1966,10,16,22.2,Y
9037,1966,10,17,22.2,Y
9037,1966,10,18,21.4,Y
9037,1966,10,19,23.4,Y
9037,1966,10,20,27.2,Y
9037,1966,10,21,27.2,Y
9037,1966,10,22,25,Y
9037,1966,10,23,24.6,Y
9037,1966,10,24,25.1,Y
9037,1966,10,25,21.7,Y
9037,1966,10,26,23.3,Y
9037,1966,10,27,22.1,Y
9037,1966,10,28,19.7,Y
9037,1966,10,29,17.7,Y
9037,1966,10,30,22.2,Y
9037,1966,10,31,24.4,Y
9037,1966,11,1,26.7,Y
9037,1966,11,2,27.8,Y
9037,1966,11,3,27.4,Y
9037,1966,11,4,26.7,Y
9037,1966,11,5,24.1,Y
9037,1966,11,6,24.6,Y
9037,1966,11,7,24.5,Y
9037,1966,11,8,23.4,Y
9037,1966,11,9,23.3,Y
9037,1966,11,10,22.8,Y
9037,1966,11,11,25.6,Y
9037,1966,11,12,31.7,Y
9037,1966,11,13,33.3,Y
9037,1966,11,14,37.2,Y
9037,1966,11,15,38.1,Y
9037,1966,11,16,38.1,Y
9037,1966,11,17,31.7,Y
9037,1966,11,18,29.2,Y
9037,1966,11,19,31.9,Y
9037,1966,11,20,34.4,Y
9037,1966,11,21,24.4,Y
9037,1966,11,22,25,Y
9037,1966,11,23,25.6,Y
9037,1966,11,24,30,Y
9037,1966,11,25,22.5,Y
9037,1966,11,26,25.1,Y
9037,1966,11,27,29.9,Y
9037,1966,11,28,25.6,Y
9037,1966,11,29,21.1,Y
9037,1966,11,30,24.4,Y
9037,1966,12,1,28.9,Y
9037,1966,12,2,30.3,Y
9037,1966,12,3,32.2,Y
9037,1966,12,4,33.9,Y
9037,1966,12,5,35.6,Y
9037,1966,12,6,37.2,Y
9037,1966,12,7,38.9,Y
9037,1966,12,8,37.2,Y
9037,1966,12,9,,
9037,1966,12,10,22.2,N
9037,1966,12,11,28.3,Y
9037,1966,12,12,28.3,Y
9037,1966,12,13,28.1,Y
9037,1966,12,14,33.3,Y
9037,1966,12,15,36.9,Y
9037,1966,12,16,37.2,Y
9037,1966,12,17,36.7,Y
9037,1966,12,18,35,Y
9037,1966,12,19,35.8,Y
9037,1966,12,20,39.4,Y
9037,1966,12,21,30.1,Y
9037,1966,12,22,32.7,Y
9037,1966,12,23,24.4,Y
9037,1966,12,24,23.9,Y
9037,1966,12,25,31.4,Y
9037,1966,12,26,25.3,Y
9037,1966,12,27,25.7,Y
9037,1966,12,28,26.1,Y
9037,1966,12,29,27.5,Y
9037,1966,12,30,30,Y
9037,1966,12,31,32.2,Y
9037,1967,1,1,38.3,Y
9037,1967,1,2,32.9,Y
9037,1967,1,3,36.1,Y
9037,1967,1,4,28.3,Y
9037,1967,1,5,25,Y
9037,1967,1,6,30.8,Y
9037,1967,1,7,33.6,Y
9037,1967,1,8,33.3,Y
9037,1967,1,9,32.5,Y
9037,1967,1,10,35.8,Y
9037,1967,1,11,37.6,Y
9037,1967,1,12,40.1,Y
9037,1967,1,13,33.9,Y
9037,1967,1,14,29.5,Y
9037,1967,1,15,35.8,Y
9037,1967,1,16,36.7,Y
9037,1967,1,17,40.4,Y
9037,1967,1,18,38.1,Y
9037,1967,1,19,36.6,Y
9037,1967,1,20,32.2,Y
9037,1967,1,21,31.7,Y
9037,1967,1,22,29,Y
9037,1967,1,23,31.4,Y
9037,1967,1,24,33.6,Y
9037,1967,1,25,36,Y
9037,1967,1,26,34.6,Y
9037,1967,1,27,38.3,Y
9037,1967,1,28,39.7,Y
9037,1967,1,29,38.3,Y
9037,1967,1,30,34.1,Y
9037,1967,1,31,38.4,Y
9037,1967,2,1,39.1,Y
9037,1967,2,2,36.6,Y
9037,1967,2,3,37.4,Y
9037,1967,2,4,38.8,Y
9037,1967,2,5,42.7,Y
9037,1967,2,6,33.1,Y
9037,1967,2,7,34.7,Y
9037,1967,2,8,35.7,Y
9037,1967,2,9,38.3,Y
9037,1967,2,10,38.9,Y
9037,1967,2,11,36.7,Y
9037,1967,2,12,37.2,Y
9037,1967,2,13,31.1,Y
9037,1967,2,14,32.3,Y
9037,1967,2,15,34.4,Y
9037,1967,2,16,36.3,Y
9037,1967,2,17,39.4,Y
9037,1967,2,18,37.2,Y
9037,1967,2,19,35.6,Y
9037,1967,2,20,36.2,Y
9037,1967,2,21,28.7,Y
9037,1967,2,22,,
9037,1967,2,23,29.4,N
9037,1967,2,24,32.8,Y
9037,1967,2,25,34.7,Y
9037,1967,2,26,35.6,Y
9037,1967,2,27,37.7,Y
9037,1967,2,28,37.2,Y
9037,1967,3,1,36.6,Y
9037,1967,3,2,36,Y
9037,1967,3,3,34.2,Y
9037,1967,3,4,36,Y
9037,1967,3,5,30.7,Y
9037,1967,3,6,26.9,Y
9037,1967,3,7,28,Y
9037,1967,3,8,32.6,Y
9037,1967,3,9,32.6,Y
9037,1967,3,10,,
9037,1967,3,11,36.2,N
9037,1967,3,12,,
9037,1967,3,13,32.1,N
9037,1967,3,14,32.1,Y
9037,1967,3,15,,
9037,1967,3,16,24.4,N
9037,1967,3,17,,
9037,1967,3,18,,
9037,1967,3,19,32.2,N
9037,1967,3,20,32.9,Y
9037,1967,3,21,,
9037,1967,3,22,31.6,N
9037,1967,3,23,35.8,Y
9037,1967,3,24,32.5,Y
9037,1967,3,25,35,Y
9037,1967,3,26,31.7,Y
9037,1967,3,27,28.9,Y
9037,1967,3,28,27.1,Y
9037,1967,3,29,,
9037,1967,3,30,24.7,N
9037,1967,3,31,,
9037,1967,4,1,30.2,N
9037,1967,4,2,26.8,Y
9037,1967,4,3,22.2,Y
9037,1967,4,4,23.8,Y
9037,1967,4,5,27.9,Y
9037,1967,4,6,31.1,Y
9037,1967,4,7,32.5,Y
9037,1967,4,8,28,Y
9037,1967,4,9,25.3,Y
9037,1967,4,10,22.7,Y
9037,1967,4,11,20.4,Y
9037,1967,4,12,23.5,Y
