Station,Year,Month,Day,Max Temp (C),Quality
68228,1999,6,12,16,Y
68228,1999,6,13,16,Y
68228,1999,6,14,14,Y
68228,1999,6,15,14,Y
68228,1999,6,16,16,Y
68228,1999,6,17,18,Y
68228,1999,6,18,20,Y
68228,1999,6,19,18,Y
68228,1999,6,20,17,Y
68228,1999,6,21,20,Y
68228,1999,6,22,16,Y
68228,1999,6,23,16,Y
68228,1999,6,24,16,Y
68228,1999,6,25,16,Y
68228,1999,6,26,16,Y
68228,1999,6,27,16,Y
68228,1999,6,28,17,Y
68228,1999,6,29,18,Y
68228,1999,6,30,18,Y
68228,1999,7,1,15,Y
68228,1999,7,2,15,Y
68228,1999,7,3,16,Y
68228,1999,7,4,17,Y
68228,1999,7,5,20,Y
68228,1999,7,6,19,Y
68228,1999,7,7,17,Y
68228,1999,7,8,17,Y
68228,1999,7,9,17,Y
68228,1999,7,10,17,Y
68228,1999,7,11,18,Y
68228,1999,7,12,15,Y
68228,1999,7,13,17,Y
68228,1999,7,14,16,Y
68228,1999,7,15,17,Y
68228,1999,7,16,16,Y
68228,1999,7,17,18,Y
68228,1999,7,18,20,Y
68228,1999,7,19,21,Y
68228,1999,7,20,16,Y
68228,1999,7,21,16,Y
68228,1999,7,22,18,Y
68228,1999,7,23,16,Y
68228,1999,7,24,17,Y
68228,1999,7,25,15,Y
68228,1999,7,26,15,Y
68228,1999,7,27,17,Y
68228,1999,7,28,18,Y
68228,1999,7,29,19,Y
68228,1999,7,30,18,Y
68228,1999,7,31,15,Y
68228,1999,8,1,14,Y
68228,1999,8,2,15,Y
68228,1999,8,3,16,Y
68228,1999,8,4,16,Y
68228,1999,8,5,16,Y
68228,1999,8,6,16,Y
68228,1999,8,7,18,Y
68228,1999,8,8,18,Y
68228,1999,8,9,19,Y
68228,1999,8,10,19,Y
68228,1999,8,11,18,Y
68228,1999,8,12,19,Y
68228,1999,8,13,18,Y
68228,1999,8,14,15,Y
68228,1999,8,15,14,Y
68228,1999,8,16,15,Y
